股票代码,开始时间,结束时间,成交量,成交额,开盘价,最低价,最高价,收盘价,开盘价（前复权）,最低价（前复权）,最高价（前复权）,收盘价（前复权）,开盘价（后复权）,最低价（后复权）,最高价（后复权）,收盘价（后复权）
300117,2010-09-02,2010-09-03,16898777,6.3407501E8,35.00,35.00,40.00,36.60,5.21,5.21,5.95,5.45,35.00,35.00,40.00,36.60
300117,2010-09-03,2010-09-04,9521818,3.50228E8,35.30,35.30,38.38,35.92,5.25,5.25,5.71,5.35,35.30,35.30,38.38,35.92
300117,2010-09-06,2010-09-07,7169271,2.40012992E8,35.50,32.41,36.00,32.45,5.28,4.82,5.36,4.83,35.50,32.41,36.00,32.45
300117,2010-09-07,2010-09-08,2865855,9.19464E7,32.45,31.40,32.57,32.09,4.83,4.67,4.85,4.78,32.45,31.40,32.57,32.09
300117,2010-09-08,2010-09-09,3255801,1.02358E8,31.80,31.26,31.80,31.38,4.73,4.65,4.73,4.67,31.80,31.26,31.80,31.38
300117,2010-09-09,2010-09-10,2619261,8.3174704E7,31.58,31.31,32.28,31.40,4.70,4.66,4.81,4.67,31.58,31.31,32.28,31.40
300117,2010-09-10,2010-09-11,2210562,6.9594304E7,31.61,31.10,31.90,31.66,4.71,4.63,4.75,4.71,31.61,31.10,31.90,31.66
300117,2010-09-13,2010-09-14,2137290,6.71372E7,31.60,31.15,31.79,31.51,4.70,4.64,4.73,4.69,31.60,31.15,31.79,31.51
300117,2010-09-14,2010-09-15,1993143,6.31437E7,31.65,31.47,31.85,31.68,4.71,4.68,4.74,4.72,31.65,31.47,31.85,31.68
300117,2010-09-15,2010-09-16,3553130,1.06089E8,31.70,28.90,31.70,28.94,4.72,4.30,4.72,4.31,31.70,28.90,31.70,28.94
300117,2010-09-16,2010-09-17,1769546,5.07458E7,28.92,28.11,29.27,28.37,4.30,4.18,4.36,4.22,28.92,28.11,29.27,28.37
300117,2010-09-17,2010-09-18,1339224,3.78484E7,28.50,27.89,28.73,28.28,4.24,4.15,4.28,4.21,28.50,27.89,28.73,28.28
300117,2010-09-20,2010-09-21,1593344,4.41664E7,28.26,27.20,28.34,27.55,4.21,4.05,4.22,4.10,28.26,27.20,28.34,27.55
300117,2010-09-21,2010-09-22,1019550,2.76743E7,27.56,26.96,27.67,27.06,4.10,4.01,4.12,4.03,27.56,26.96,27.67,27.06
300117,2010-09-27,2010-09-28,1009955,2.7561E7,27.13,27.02,27.46,27.42,4.04,4.02,4.09,4.08,27.13,27.02,27.46,27.42
300117,2010-09-28,2010-09-29,1325438,3.56439E7,27.36,26.48,27.36,26.49,4.07,3.94,4.07,3.94,27.36,26.48,27.36,26.49
300117,2010-09-29,2010-09-30,886780,2.34E7,26.45,26.10,26.68,26.10,3.94,3.89,3.97,3.89,26.45,26.10,26.68,26.10
300117,2010-09-30,2010-10-01,1749252,4.72481E7,26.30,26.08,27.45,27.15,3.91,3.88,4.09,4.04,26.30,26.08,27.45,27.15
300117,2010-10-08,2010-10-09,1822524,5.09686E7,27.11,27.11,28.47,27.93,4.04,4.04,4.24,4.16,27.11,27.11,28.47,27.93
300117,2010-10-11,2010-10-12,1514659,4.14811E7,27.83,27.11,27.84,27.28,4.14,4.04,4.14,4.06,27.83,27.11,27.84,27.28
300117,2010-10-12,2010-10-13,1609501,4.50347E7,27.52,27.52,28.35,27.85,4.10,4.10,4.22,4.15,27.52,27.52,28.35,27.85
300117,2010-10-13,2010-10-14,1300866,3.57142E7,27.70,27.00,28.07,27.59,4.12,4.02,4.18,4.11,27.70,27.00,28.07,27.59
300117,2010-10-14,2010-10-15,1117870,3.06794E7,27.63,27.06,27.82,27.08,4.11,4.03,4.14,4.03,27.63,27.06,27.82,27.08
300117,2010-10-15,2010-10-16,1412700,3.76283E7,27.00,26.44,27.18,26.48,4.02,3.94,4.05,3.94,27.00,26.44,27.18,26.48
300117,2010-10-18,2010-10-19,1222049,3.20607E7,26.40,26.01,26.51,26.51,3.93,3.87,3.95,3.95,26.40,26.01,26.51,26.51
300117,2010-10-19,2010-10-20,2605157,7.21684E7,26.58,26.50,28.50,28.01,3.96,3.94,4.24,4.17,26.58,26.50,28.50,28.01
300117,2010-10-20,2010-10-21,2076343,5.75985E7,27.58,27.30,28.32,27.64,4.11,4.06,4.22,4.11,27.58,27.30,28.32,27.64
300117,2010-10-21,2010-10-22,1502373,4.17495E7,27.93,27.55,28.10,27.66,4.16,4.10,4.18,4.12,27.93,27.55,28.10,27.66
300117,2010-10-22,2010-10-23,1568356,4.41459E7,27.71,27.71,28.45,28.00,4.12,4.12,4.23,4.17,27.71,27.71,28.45,28.00
300117,2010-10-25,2010-10-26,1960688,5.62034E7,28.12,28.12,28.97,28.67,4.19,4.19,4.31,4.27,28.12,28.12,28.97,28.67
300117,2010-10-26,2010-10-27,1748013,4.95026E7,28.80,27.99,28.93,28.16,4.29,4.17,4.31,4.19,28.80,27.99,28.93,28.16
300117,2010-10-27,2010-10-28,1277606,3.61169E7,28.22,28.01,28.58,28.03,4.20,4.17,4.25,4.17,28.22,28.01,28.58,28.03
300117,2010-10-28,2010-10-29,1140536,3.19328E7,28.03,27.75,28.24,28.10,4.17,4.13,4.20,4.18,28.03,27.75,28.24,28.10
300117,2010-10-29,2010-10-30,2570472,7.40172E7,28.20,28.10,29.35,28.94,4.20,4.18,4.37,4.31,28.20,28.10,29.35,28.94
300117,2010-11-01,2010-11-02,2662474,7.8475E7,29.50,29.00,29.76,29.64,4.39,4.32,4.43,4.41,29.50,29.00,29.76,29.64
300117,2010-11-02,2010-11-03,2364030,6.8706096E7,29.80,28.50,29.80,28.53,4.44,4.24,4.44,4.25,29.80,28.50,29.80,28.53
300117,2010-11-03,2010-11-04,1073044,3.03298E7,28.45,28.10,28.50,28.15,4.23,4.18,4.24,4.19,28.45,28.10,28.50,28.15
300117,2010-11-04,2010-11-05,845943,2.39399E7,28.19,28.11,28.45,28.45,4.20,4.18,4.23,4.23,28.19,28.11,28.45,28.45
300117,2010-11-05,2010-11-06,1126965,3.23271E7,28.59,28.54,28.94,28.80,4.26,4.25,4.31,4.29,28.59,28.54,28.94,28.80
300117,2010-11-08,2010-11-09,1770390,5.17597E7,28.98,28.90,29.48,29.38,4.31,4.30,4.39,4.37,28.98,28.90,29.48,29.38
300117,2010-11-09,2010-11-10,1621642,4.72618E7,29.38,28.96,29.52,29.24,4.37,4.31,4.39,4.35,29.38,28.96,29.52,29.24
300117,2010-11-11,2010-11-12,3694783,1.11495E8,29.70,29.61,30.60,29.75,4.42,4.41,4.56,4.43,29.70,29.61,30.60,29.75
300117,2010-11-12,2010-11-13,4915742,1.49468E8,30.01,29.70,31.25,30.04,4.47,4.42,4.65,4.47,30.01,29.70,31.25,30.04
300117,2010-11-15,2010-11-16,4944628,1.57500992E8,30.20,30.20,32.80,32.59,4.50,4.50,4.88,4.85,30.20,30.20,32.80,32.59
300117,2010-11-16,2010-11-17,4024512,1.2797E8,32.40,30.53,33.13,31.07,4.82,4.54,4.93,4.62,32.40,30.53,33.13,31.07
300117,2010-11-17,2010-11-18,1972390,6.08996E7,30.62,29.85,31.86,30.06,4.56,4.44,4.74,4.47,30.62,29.85,31.86,30.06
300117,2010-11-18,2010-11-19,1681307,5.10019E7,30.65,29.63,30.99,30.68,4.56,4.41,4.61,4.57,30.65,29.63,30.99,30.68
300117,2010-11-19,2010-11-20,2720914,8.5201104E7,30.95,30.40,32.29,32.12,4.61,4.53,4.81,4.78,30.95,30.40,32.29,32.12
300117,2010-11-22,2010-11-23,3253912,1.05127E8,32.00,31.50,32.86,32.05,4.76,4.69,4.89,4.77,32.00,31.50,32.86,32.05
300117,2010-11-23,2010-11-24,4279534,1.40675008E8,32.05,32.00,33.49,33.25,4.77,4.76,4.99,4.95,32.05,32.00,33.49,33.25
300117,2010-11-24,2010-11-25,2974934,9.9865696E7,32.88,32.88,33.97,33.78,4.89,4.89,5.06,5.03,32.88,32.88,33.97,33.78
300117,2010-11-25,2010-11-26,2916251,9.6719E7,33.90,32.75,33.99,32.78,5.05,4.88,5.06,4.88,33.90,32.75,33.99,32.78
300117,2010-11-26,2010-11-27,1777321,5.85318E7,32.55,32.47,33.30,32.99,4.85,4.83,4.96,4.91,32.55,32.47,33.30,32.99
300117,2010-11-29,2010-11-30,1580387,5.19754E7,32.66,32.51,33.13,32.90,4.86,4.84,4.93,4.90,32.66,32.51,33.13,32.90
300117,2010-11-30,2010-12-01,2317510,7.34338E7,33.00,30.56,33.00,31.41,4.91,4.55,4.91,4.68,33.00,30.56,33.00,31.41
300117,2010-12-01,2010-12-02,1053415,3.32505E7,31.22,31.22,31.83,31.78,4.65,4.65,4.74,4.73,31.22,31.22,31.83,31.78
300117,2010-12-02,2010-12-03,3717630,1.17312E8,31.63,31.20,32.15,31.25,4.71,4.64,4.79,4.65,31.63,31.20,32.15,31.25
300117,2010-12-03,2010-12-04,2238037,6.82882E7,31.23,30.09,31.39,30.40,4.65,4.48,4.67,4.53,31.23,30.09,31.39,30.40
300117,2010-12-06,2010-12-07,1611891,4.78774E7,30.38,29.25,30.49,29.40,4.52,4.35,4.54,4.38,30.38,29.25,30.49,29.40
300117,2010-12-07,2010-12-08,1767069,5.24303E7,29.34,28.88,30.10,30.02,4.37,4.30,4.48,4.47,29.34,28.88,30.10,30.02
300117,2010-12-08,2010-12-09,1231442,3.67759E7,30.01,29.33,30.37,29.52,4.47,4.37,4.52,4.39,30.01,29.33,30.37,29.52
